2025-12-03 14:58:29 INFO     Training average regularization at step 600: 0.000000
2025-12-03 14:58:29 INFO     Training average loss at step 600: 1.634481
2025-12-03 15:00:33 INFO     Training average positive_fact_loss at step 700: 0.288710
2025-12-03 15:00:33 INFO     Training average negative_fact_loss at step 700: 0.248727
2025-12-03 15:00:33 INFO     Training average positive_rule_loss at step 700: 0.245646
2025-12-03 15:00:33 INFO     Training average negative_rule_loss at step 700: 1.529208
2025-12-03 15:00:33 INFO     Training average L_uncertainty at step 700: 46.663536
2025-12-03 15:00:33 INFO     Training average L_kl at step 700: 46415.128711
2025-12-03 15:00:33 INFO     Training average L_sigma at step 700: 24.840504
2025-12-03 15:00:33 INFO     Training average mu_mean at step 700: -1.487910
2025-12-03 15:00:33 INFO     Training average sigma_mean at step 700: 0.167805
2025-12-03 15:00:33 INFO     Training average regularization at step 700: 0.000000
2025-12-03 15:00:33 INFO     Training average loss at step 700: 1.622782
2025-12-03 15:02:44 INFO     Training average positive_fact_loss at step 800: 0.287006
2025-12-03 15:02:44 INFO     Training average negative_fact_loss at step 800: 0.246709
2025-12-03 15:02:44 INFO     Training average positive_rule_loss at step 800: 0.247222
2025-12-03 15:02:44 INFO     Training average negative_rule_loss at step 800: 1.514791
2025-12-03 15:02:44 INFO     Training average L_uncertainty at step 800: 46.583083
2025-12-03 15:02:44 INFO     Training average L_kl at step 800: 46375.311680
2025-12-03 15:02:44 INFO     Training average L_sigma at step 800: 20.776914
2025-12-03 15:02:44 INFO     Training average mu_mean at step 800: -1.491159
2025-12-03 15:02:44 INFO     Training average sigma_mean at step 800: 0.167942
2025-12-03 15:02:44 INFO     Training average regularization at step 800: 0.000000
2025-12-03 15:02:44 INFO     Training average loss at step 800: 1.613695
2025-12-03 15:04:53 INFO     Training average positive_fact_loss at step 900: 0.284543
2025-12-03 15:04:53 INFO     Training average negative_fact_loss at step 900: 0.244932
2025-12-03 15:04:53 INFO     Training average positive_rule_loss at step 900: 0.249318
2025-12-03 15:04:53 INFO     Training average negative_rule_loss at step 900: 1.502406
2025-12-03 15:04:53 INFO     Training average L_uncertainty at step 900: 46.425760
2025-12-03 15:04:53 INFO     Training average L_kl at step 900: 46234.811406
2025-12-03 15:04:53 INFO     Training average L_sigma at step 900: 19.094638
2025-12-03 15:04:53 INFO     Training average mu_mean at step 900: -1.488513
2025-12-03 15:04:53 INFO     Training average sigma_mean at step 900: 0.168003
2025-12-03 15:04:53 INFO     Training average regularization at step 900: 0.000000
2025-12-03 15:04:53 INFO     Training average loss at step 900: 1.604857
2025-12-03 15:06:52 INFO     Training average positive_fact_loss at step 1000: 0.283905
2025-12-03 15:06:52 INFO     Training average negative_fact_loss at step 1000: 0.243864
2025-12-03 15:06:52 INFO     Training average positive_rule_loss at step 1000: 0.250503
2025-12-03 15:06:52 INFO     Training average negative_rule_loss at step 1000: 1.496328
2025-12-03 15:06:52 INFO     Training average L_uncertainty at step 1000: 46.287325
2025-12-03 15:06:52 INFO     Training average L_kl at step 1000: 46115.976914
2025-12-03 15:06:52 INFO     Training average L_sigma at step 1000: 17.134570
2025-12-03 15:06:52 INFO     Training average mu_mean at step 1000: -1.485182
2025-12-03 15:06:52 INFO     Training average sigma_mean at step 1000: 0.168047
2025-12-03 15:06:52 INFO     Training average regularization at step 1000: 0.000000
2025-12-03 15:06:52 INFO     Training average loss at step 1000: 1.600173
2025-12-03 15:06:52 INFO     Evaluating on Valid Dataset...
2025-12-03 15:06:52 INFO     >>>>> RuleE emb: Evaluating on valid
2025-12-03 15:07:09 INFO     Data : 2612
2025-12-03 15:07:09 INFO     Hit1 : 0.660796
2025-12-03 15:07:09 INFO     Hit3 : 0.900077
2025-12-03 15:07:09 INFO     Hit10: 0.959418
2025-12-03 15:07:09 INFO     MR   : 3.303982
2025-12-03 15:07:09 INFO     MRR  : 0.787079
2025-12-03 15:09:24 INFO     Training average positive_fact_loss at step 1100: 0.283389
2025-12-03 15:09:24 INFO     Training average negative_fact_loss at step 1100: 0.242459
2025-12-03 15:09:24 INFO     Training average positive_rule_loss at step 1100: 0.252934
2025-12-03 15:09:24 INFO     Training average negative_rule_loss at step 1100: 1.487537
2025-12-03 15:09:24 INFO     Training average L_uncertainty at step 1100: 46.067912
2025-12-03 15:09:24 INFO     Training average L_kl at step 1100: 45891.039336
2025-12-03 15:09:24 INFO     Training average L_sigma at step 1100: 17.687021
2025-12-03 15:09:24 INFO     Training average mu_mean at step 1100: -1.477229
2025-12-03 15:09:24 INFO     Training average sigma_mean at step 1100: 0.168039
2025-12-03 15:09:24 INFO     Training average regularization at step 1100: 0.000000
2025-12-03 15:09:24 INFO     Training average loss at step 1100: 1.593838
2025-12-03 15:11:33 INFO     Training average positive_fact_loss at step 1200: 0.281791
2025-12-03 15:11:33 INFO     Training average negative_fact_loss at step 1200: 0.241884
2025-12-03 15:11:33 INFO     Training average positive_rule_loss at step 1200: 0.254360
2025-12-03 15:11:33 INFO     Training average negative_rule_loss at step 1200: 1.482705
2025-12-03 15:11:33 INFO     Training average L_uncertainty at step 1200: 45.912019
2025-12-03 15:11:33 INFO     Training average L_kl at step 1200: 45744.205078
2025-12-03 15:11:33 INFO     Training average L_sigma at step 1200: 16.781143
2025-12-03 15:11:33 INFO     Training average mu_mean at step 1200: -1.471988
2025-12-03 15:11:33 INFO     Training average sigma_mean at step 1200: 0.168066
2025-12-03 15:11:33 INFO     Training average regularization at step 1200: 0.000000
2025-12-03 15:11:33 INFO     Training average loss at step 1200: 1.589490
2025-12-03 15:13:45 INFO     Training average positive_fact_loss at step 1300: 0.281013
2025-12-03 15:13:45 INFO     Training average negative_fact_loss at step 1300: 0.240876
2025-12-03 15:13:45 INFO     Training average positive_rule_loss at step 1300: 0.255662
2025-12-03 15:13:45 INFO     Training average negative_rule_loss at step 1300: 1.479689
2025-12-03 15:13:45 INFO     Training average L_uncertainty at step 1300: 45.801461
2025-12-03 15:13:45 INFO     Training average L_kl at step 1300: 45639.639492
2025-12-03 15:13:45 INFO     Training average L_sigma at step 1300: 16.181928
2025-12-03 15:13:45 INFO     Training average mu_mean at step 1300: -1.468061
2025-12-03 15:13:45 INFO     Training average sigma_mean at step 1300: 0.168045
2025-12-03 15:13:45 INFO     Training average regularization at step 1300: 0.000000
2025-12-03 15:13:45 INFO     Training average loss at step 1300: 1.586634
2025-12-03 15:15:44 INFO     Training average positive_fact_loss at step 1400: 0.281218
2025-12-03 15:15:44 INFO     Training average negative_fact_loss at step 1400: 0.240609
2025-12-03 15:15:44 INFO     Training average positive_rule_loss at step 1400: 0.257901
2025-12-03 15:15:44 INFO     Training average negative_rule_loss at step 1400: 1.473128
2025-12-03 15:15:44 INFO     Training average L_uncertainty at step 1400: 45.599070
2025-12-03 15:15:44 INFO     Training average L_kl at step 1400: 45439.103164
2025-12-03 15:15:44 INFO     Training average L_sigma at step 1400: 15.996445
2025-12-03 15:15:44 INFO     Training average mu_mean at step 1400: -1.460527
2025-12-03 15:15:44 INFO     Training average sigma_mean at step 1400: 0.168051
2025-12-03 15:15:44 INFO     Training average regularization at step 1400: 0.000000
2025-12-03 15:15:44 INFO     Training average loss at step 1400: 1.582418
2025-12-03 15:17:48 INFO     Training average positive_fact_loss at step 1500: 0.280940
2025-12-03 15:17:48 INFO     Training average negative_fact_loss at step 1500: 0.240174
2025-12-03 15:17:48 INFO     Training average positive_rule_loss at step 1500: 0.259589
2025-12-03 15:17:48 INFO     Training average negative_rule_loss at step 1500: 1.470023
2025-12-03 15:17:48 INFO     Training average L_uncertainty at step 1500: 45.493512
2025-12-03 15:17:48 INFO     Training average L_kl at step 1500: 45339.392461
2025-12-03 15:17:48 INFO     Training average L_sigma at step 1500: 15.411772
2025-12-03 15:17:48 INFO     Training average mu_mean at step 1500: -1.456618
2025-12-03 15:17:48 INFO     Training average sigma_mean at step 1500: 0.168052
2025-12-03 15:17:48 INFO     Training average regularization at step 1500: 0.000000
2025-12-03 15:17:48 INFO     Training average loss at step 1500: 1.580298
2025-12-03 15:19:59 INFO     Training average positive_fact_loss at step 1600: 0.280194
2025-12-03 15:19:59 INFO     Training average negative_fact_loss at step 1600: 0.239283
2025-12-03 15:19:59 INFO     Training average positive_rule_loss at step 1600: 0.262299
2025-12-03 15:19:59 INFO     Training average negative_rule_loss at step 1600: 1.464309
2025-12-03 15:19:59 INFO     Training average L_uncertainty at step 1600: 45.370455
2025-12-03 15:19:59 INFO     Training average L_kl at step 1600: 45218.760781
2025-12-03 15:19:59 INFO     Training average L_sigma at step 1600: 15.169234
2025-12-03 15:19:59 INFO     Training average mu_mean at step 1600: -1.451800
2025-12-03 15:19:59 INFO     Training average sigma_mean at step 1600: 0.168045
2025-12-03 15:19:59 INFO     Training average regularization at step 1600: 0.000000
2025-12-03 15:19:59 INFO     Training average loss at step 1600: 1.576747
2025-12-03 15:22:05 INFO     Training average positive_fact_loss at step 1700: 0.278782
2025-12-03 15:22:05 INFO     Training average negative_fact_loss at step 1700: 0.238810
2025-12-03 15:22:05 INFO     Training average positive_rule_loss at step 1700: 0.263836
2025-12-03 15:22:05 INFO     Training average negative_rule_loss at step 1700: 1.461078
2025-12-03 15:22:05 INFO     Training average L_uncertainty at step 1700: 45.231254
2025-12-03 15:22:05 INFO     Training average L_kl at step 1700: 45083.854922
2025-12-03 15:22:05 INFO     Training average L_sigma at step 1700: 14.739678
2025-12-03 15:22:05 INFO     Training average mu_mean at step 1700: -1.446240
2025-12-03 15:22:05 INFO     Training average sigma_mean at step 1700: 0.168052
